generation_N,generation N
partnership_N,partnerskap_N
project_N,projekt_N
encode_V2,koda_V2
protocol_N,protokoll_N
abstract_N,utdrag_N
data_N,data_N
type_N,typ_N
semantic_A,semantisk_A
graph_N,graf_N
syntax_N,syntax_N
notation_N,notation_N
tree_N,träd_N
window_N,fönster_N
toolbox_N,verktygslåda_N
accelerate_V2,accelerera_V2
graphic_N,grafik_N
port_N,port_N
access_N,tillgång_N
control_N,kontroll_N
list_N,lista_N
method_N,metod_N
time_N,tid_N
poison_N,gift_N
acknowledge_VS,erkänna_VS
character_N,karaktär_N
acoustic_N,akustik_N
coupler_N,koppling_N
acronym_N,akronym_N
with_Prep,med_Prep
letters_N,bokstäver_N
active_A,aktiv_A
current_N,ström_N
loop_N,slinga_N
directory_N,katalog_N
hub_N,centrum_N
matrix_N,matris_N
liquid_N,vätska_N
crystal_N,kristall_N
display_N,prov_N
monitor_N,bildskärm_N
server_N,server_N
page_N,sida_N
terminator_N,terminator_N
object_N,objekt_N
actor_N,skådespelare_N
base_V2,stödja_V2
concurrent_A,samverkande_A
language_N,språk_N
adaptive_A,adaptiv_A
equalizer_N,utjämnare_N
replacement_N,ersättning_N
cache_N,gömställe_N
address_N,adress_N
resolution_N,resolution_N
space_N,plats_N
layout_N,layout_N
randomization_N,randomisering_N
administrative_A,administrativa_A
domain_N,domän_N
adobe_N,adobe_N
flash_N,sken_N
audio_N,ljud_N
code_V2,koda_V2
environment_N,miljö_N
configuration_N,konfiguration_N
power_N,kraft_N
interface_N,gränssnitt_N
communication_N,kommunikation_N
procedure_N,procedur_N
encryption_N,kryptering_N
standard_N,standard_N
linux_N,linux_N
sound_N,ljud_N
architecture_N,arkitektur_N
message_N,meddelande_N
queue_V,köa_V
micro_A,mikro_A
device_N,apparat_N
interrupt_V2,avbryta_V2
controller_N,kontroll_N
research_N,forskning_N
agency_N,byrå_N
technology_N,teknologi_N
attachment_N,bilaga_N
algorithmic_A,algoritmisk_A
state_N,stat_N
machine_N,maskin_N
allow_VS,låta_VS
cell_N,cell_N
rate_N,takt_N
alternate_V2,växla_V2
national_A,nationell_A
institute_N,institut_N
for_Prep,för_Prep
internet_N,internet_N
number_N,nummer_N
amoled_N,amoled_N
amplitude_N,amplitud_N
compiler_N,kompilator_N
kit_N,verktyg_N
analog_N,analog_N
digital_A,digital_A
converter_N,konverterare_N
anisotropic_A,anisotrop_A
filter_V2,filtrera_V2
escape_N,flykt_N
anti_+_virus_N,antivirus_N
apache_N,apache_N
ant_N,myra_N
portable_A,bärbar_A
apple_N,äpple_N
desktop_N,skrivbord_N
bus_N,buss_N
connector_N,kopplingsdon_N
filing_N,arkivering_N
lossless_A,förlustlös_A
worldwide_A,global_A
developer_N,utvecklare_N
conference_N,konferens_N
application_N,applikation_N
binary_A,binär_A
layer_N,lager_N
service_N,service_N
provider_N,leverantör_N
specific_A,särskild_A
integrate_V2,integrera_V2
circuit_N,krets_N
border_N,gräns_N
router_N,router_N
arithmetic_N,aritmetik_N
logic_N,logik_N
holding_N,innehav_N
operate_V2,arbeta_V2
system_N,system_N
artificial_A,artificiell_A
intelligence_N,intelligens_N
neural_A,neural_A
network_N,nätverk_N
ascii_N,ascii_N
aspect_N,aspekt_N
orient_V2,orientera_V2
association_N,samband_N
machinery_N,maskineri_N
asymmetric_A,assymetrisk_A
subscriber_N,prenumerant_N
asynchronous_A,asynkron_A
balance_V2,väga_V2
mode_N,sätt_N
transfer_N,omplacering_N
ethernet_N,ethernet_N
adaptation_N,anpassning_N
attenuation_N,försvagning_N
crosstalk_N,överhörning_N
ratio_N,kvot_N
modem_N,modem_N
video_N,video_N
interleave_V2,interfoliera_V2
accessibility_N,tillgänglighet_N
guideline_N,riktlinje_N
automate_V2,automatisera_V2
classification_N,klassificering_N
entity_N,enhet_N
security_N,säkerhet_N
enhancement_N,förbättring_N
baud_N,baud_N
detection_N,upptäckt_N
call_N,krav_N
distributor_N,återförsäljare_N
available_A,tillgänglig_A
bit_N,bit_N
average_N,genomsnitt_N
bit_+_rate_VS,bithastighet_N
bandwidth_N,bandbredd_N
processor_N,processor_N
basic_A,grundläggande_A
multilingual_A,flerspråkig_A
plane_N,nivå_N
telecommunication_N,telekommunikation_N
infrastructure_N,infrastruktur_N
distribution_N,distribution_N
bidirectional_A,dubbelriktad_A
forwarding_N,spedition_N
directional_A,riktad_A
text_N,text_N
decimal_N,decimal_N
library_N,bibliotek_N
large_A,stor_A
bind_V2,binda_V2
bios_N,bios_N
bipolar_A,bipolär_A
junction_N,förbindelse_N
transistor_N,transistor_N
error_N,felmeddelande_N
block_N,hinder_N
availability_N,tillgång_N
map_N,karta_N
screen_N,skärm_N
death_N,död_N
blue_+_tooth_N,blåtand_N
boot_V2,ladda_V2
gateway_N,port_N
normal_A,normal_A
form_N,formulär_N
breadth_N,bredd_N
device_N,enhet_N
bulletin_N,rapport_N
business_N,företag_N
continuity_N,kontinuitet_N
execution_N,verkställande_N
management_N,förvaltning_N
readiness_N,beredskap_N
rate_VS,värdering_N
reference_N,referens_N
rule_N,regel_N
alliance_N,förbund_N
consumer_N,konsument_N
employee_N,anställd_N
byte_N,byte_N
order_N,ordning_N
mark_N,mark_N
fault_N,fel_N
tolerance_N,tolerans_N
capability_N,kompetens_N
maturity_N,mognad_N
integration_N,integrering_N
captcha_N,captcha_N
theorem_N,sats_N
carriage_N,vagn_N
carrier_N,bärare_N
sense_N,känsla_N
multiple_N,mångfald_N
collision_N,kollision_N
sheet_N,lager_N
cathode_N,katod_N
ray_N,stråle_N
tube_N,tub_N
cd_N,cd_N
challenge_N,utmaning_N
handshake_N,handskakning_N
authentication_N,autentisering_N
chief_N,ledare_N
information_N,information_N
officer_N,officer_N
cisco_N,cisco_N
discovery_N,upptäckt_N
classless_A,klasslös_A
inter_V2,begrava_V2
client_N,klient_N
close_VS,stänga_VS
source_N,källa_N
metal_N,metall_N
cloud_N,moln_N
division_N,division_N
colour_N,färg_N
adapter_N,adapter_N
command_N,kommando_N
line_N,linje_N
comma_N,komma_N
separate_V2,separera_V2
value_N,värde_N
commercial_N,reklamfilm_N
shelf_N,hylla_N
common_N,allmänning_N
request_N,begäran_N
broker_N,agent_N
public_N,allmänhet_N
radio_N,radio_N
communicate_V2,kommunicera_V2
sequential_A,följande_A
disc_N,disk_N
disk_N,disk
compatibility_N,förenlighet_N
support_N,stöd_N
module_N,modul_N
compatible_A,kompatibel_A
sharing_N,fördelning_N
compile_V2,kompilera_V2
function_N,funktion_N
complex_N,komplex_N
instruction_N,instruktion_N
set_N,uppsättning_N
computer_N,dator_N
computational_A,beräkning_A
fluid_N,vätska_N
dynamics_N,dynamik_N
independent_A,oberoende_A
computation_N,beräkning_N
compute_V2,uppskatta_V2
axial_A,axial_A
aid_V2,hjälpa_V2
industrial_A,industriell_A
manufacture_V2,tillverka_V2
quality_N,kvalitet_N
assist_V2,hjälpa_V2
translation_N,översättning_N
emergency_N,kris_N
response_N,svar_N
team_N,lag_N
generate_V2,generera_V2
imagery_N,bilder_N
memory_N,minne_N
reservation_N,bokning_N
science_N,vetenskap_N
telephony_N,telefoni_N
terminal_N,terminal_N
version_N,version_N
database_N,databas_N
electronics_N,elektronik_N
delivery_N,leverans_N
scramble_VV,förvränga_VV
context_N,sammanhang_N
free_A,fri_A
grammar_N,grammatik_N
continuous_A,kontinuerlig_A
protection_N,skydd_N
flow_N,flöde_N
coordinate_V2,samordna_V2
universal_A,allmän_A
create_VV,skapa_VV
read_VS,läsa_VS
update_N,uppdatering_N
delete_V2,radera_V2
cross_N,kors_N
platform_N,plattform_N
site_N,läge_N
forgery_N,förfalskning_N
cryptography_N,kryptografi_N
operation_N,verksamhet_N
relationship_N,samband_N
cyclic_A,cyklisk_A
redundancy_N,överskott_N
check_N,test_N
cylinder_N,cylinder_N
head_N,huvud_N
sector_N,sektor_N
daemon_N,daemon_N
definition_N,definition_N
diagram_N,diagram_N
congestion_N,stockning_N
integrity_N,integritet_N
field_N,område_N
loss_N,förlust_N
manipulation_N,manipulation_N
equipment_N,utrustning_N
warehouse_N,lager_N
arrival_N,ankomst_N
packet_N,paket_N
inspection_N,granskning_N
procedure_N,förfarande_N
definitive_A,avgörande_A
media_N,media_N
denial_N,avslag_N
attack_N,attack_N
depth_N,djup_N
publish_V2,publicera_V2
deterministic_A,deterministisk_A
finite_A,ändlig_A
automaton_N,robot_N
corporation_N,bolag_N
millennium_N,årtusende_N
copyright_N,upphovsrätt_N
act_N,lag_N
signature_N,underskrift_N
recorder_N,registrator_N
visual_A,visuell_A
recovery_N,återhämtning_N
storage_N,lager_N
rendering_N,tolkning_N
manager_N,manager_N
disaster_N,katastrof_N
discretionary_A,oinskränkt_A
distribute_V2,sprida_V2
